Country;Region;Rank;Score;GDP;Family;Health;Freedom;Trust;Generosity
Luxembourg;Western Europe;144;7237500191;1145068073;906912208;7259999847;90563643;367084295;-4620588
New Zealand;Australia and New Zealand;146;7299600124;1050094318;949118972;7320262909;936217487;22113885;191598073
Sweden;Western Europe;147;7353499889;1075879383;926311195;7260076904;939144194;250880182;111614622
Netherlands;Western Europe;148;7448900223;1081271172;93913883;7230091858;908547819;364717126;20761244
Norway;Western Europe;149;7487999916;1108780384;952486575;7320078278;955750287;263218194;13453263
Switzerland;Western Europe;151;7559899807;1097993279;942846596;7410244751;921336651;303728431;105911039
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Zimbabwe;Sub-Saharan Africa;17;3299200058;7865711689;763092756;5561725998;711457908;81023699;-72063953
Zambia;Sub-Saharan Africa;27;3759399891;8224720001;698824465;5529937744;806500256;801289678;78037128
Yemen;Middle East and Northern Africa;22;3527400017;7759682655;817980587;5672728348;599920273;800287724;-157735437
Vietnam;SouthEastern Asia;81;5353499889;8809545517;849987149;679527359;939592957;79642123;-94533332
Venezuela;Latin America and Caribbean;66;5053199768;8977793694;890408158;6650534058;62327832;837038398;-169090509
Uzbekistan;Central and Eastern Europe;120;6257599831;8740371704;926595807;6510757446;974998116;501497388;248427153
Uruguay;Latin America and Caribbean;130;6440100193;9948192596;92281127;6900254822;892395437;635994136;-101103112
United Kingdom;Western Europe;142;7164500237;1060013485;93668282;7230160522;834743679;435915917;263732493
United Arab Emirates;Middle East and Northern Africa;134;6790800095;111099987;849181116;6708278656;941345513;594502211;123450845
Ukraine;Central and Eastern Europe;3;456069994;9010690689;878879368;6460678101;663081884;920636714;-30933706
Uganda;Sub-Saharan Africa;2;443200016;7500389576;764994621;5570820236;731713951;836737812;99487431
Turkmenistan;Central and Eastern Europe;70;5119100094;974803257;958966196;6221170807;826457024;883691847;187671542
Turkey;Middle East and Northern Africa;72;5131800175;1012941933;826313555;6690281677;608830452;748197377;-171046436
Tunisia;Middle East and Northern Africa;39;4392199993;9314972878;688718557;6689785767;593361557;867590249;-216413811
Trinidad and Tobago;Latin America and Caribbean;116;6191899776;1026000214;91529417;635;857907116;912230611;526841
Togo;Sub-Saharan Africa;33;4187200069;7357711315;551312625;5471989822;649828613;757733464;2667875
Thailand;SouthEastern Asia;106;5998799801;9741791725;889973223;6725059509;905063033;886272311;268685192
Tanzania;Sub-Saharan Africa;20;3476200104;7967665195;688933194;5749607468;82153976;619799435;109668687
Tajikistan;Central and Eastern Europe;91;5555699825;8024810791;835297108;6410459137;831383407;592076063;-25088511
Taiwan;Eastern Asia;13;645539999;1077568531;894309103;6959999847;77153033;73188293;-73198698
Sri Lanka;Southern Asia;37;4327000141;9389969826;825374067;6720006561;837633669;859001756;81129618
Spain;Western Europe;128;6400899887;1046292686;921125412;7440270996;751989543;765859902;-50961714
South Korea;Eastern Asia;99;5872399807;1051056671;799387157;736027298;612965107;789067447;-43404032
South Africa;Sub-Saharan Africa;56;4814099789;9403370857;852532268;5650601196;759330094;843423843;-109777324
Slovenia;Central and Eastern Europe;124;6363399982;1039232254;939575672;711029892;936142623;817071021;-80603383
Slovakia;Central and Eastern Europe;121;6280600071;1034774971;922493756;6890634155;749952674;918096125;-124409303
Singapore;SouthEastern Asia;126;6377099991;1139552116;910268962;7680458069;926645339;109784193;29879224
Sierra Leone;Sub-Saharan Africa;29;3926399946;726880312;636142015;5086514282;715315044;861330688;88660747
Serbia;Central and Eastern Europe;8;577820015;9680980682;881475747;6821020508;726495862;843509018;-73676221
